1590,89,1
3368,105,1
2134,113,1
3422,268,1
1630,219,1
2870,219,1
2847,87,1
1571,11,1
1936,14,1
1464,107,1
3412,113,1
1526,69,1
1865,280,1
3166,280,1
3709,291,1
1601,87,1
2313,292,1
2844,87,1
1479,8,1
2213,90,1
2076,245,1
3442,249,1
3205,256,1
1474,276,1
2793,84,1
3273,87,1
3175,91,1
2536,119,1
1497,268,1
3569,274,1
3403,280,1
2511,79,1
2421,87,1
2379,292,1
2638,90,1
3221,95,1
1516,266,1
2367,84,1
3084,219,1
2805,292,1
2817,11,1
2655,234,1
2920,107,1
3376,243,1
2347,113,1
2713,245,1
2962,119,1
2740,273,1
1532,172,1
4461,14,1
1608,90,1
2866,234,1
2707,107,1
3388,119,1
3183,264,1
3229,266,1
3712,171,1
1550,84,1
3153,84,1
2088,84,1
2856,291,1
2622,86,1
3264,86,1
2516,105,1
2544,243,1
1953,275,1
2717,280,1
3170,79,1
2441,234,1
2773,113,1
3567,249,1
2140,256,1
3157,157,1
1520,270,1
2116,186,1
3446,280,1
1982,86,1
2857,291,1
4593,291,1
2873,219,1
4382,219,1
3487,87,1
1470,245,1
2418,87,1
3059,87,1
1504,9,1
2640,90,1
1861,245,1
1491,136,1
3416,143,1
2341,76,1
4225,184,1
2580,84,1
2409,86,1
3474,86,1
2231,219,1
2234,219,1
3082,219,1
3696,87,1
2781,227,1
2001,90,1
1943,105,1
3631,241,1
2185,42,1
3392,147,1
4465,84,1
1565,292,1
3057,87,1
2442,234,1
2851,90,1
3625,93,1
1506,119,1
3629,172,1
3432,84,1
2158,210,1
2428,291,1
4573,86,1
2422,87,1
2840,88,1
2439,234,1
2323,91,1
3163,235,1
2069,110,1
2110,119,1
1540,273,1
3180,196,1
2120,215,1
4367,291,1
2657,219,1
4608,219,1
1855,97,1
2130,31,1
1530,113,1
3199,113,1
2301,84,1
2727,84,1
2195,86,1
3707,291,1
2021,219,1
2211,90,1
2853,90,1
2749,91,1
4221,108,1
2106,35,1
2327,147,1
2336,273,1
1627,219,1
2443,219,1
2722,14,1
6447,275,2
6627,293,2
5964,297,2
6622,297,2
5822,136,2
5923,171,2
3080,234,3
4397,296,3
2943,96,3
2164,237,3
2353,239,3
4215,41,3
2327,147,3
4716,147,3
3181,197,3
2632,87,3
5028,87,3
6822,219,3
6309,237,3
4287,114,3
6037,119,3
6085,157,3
6748,169,3
3060,87,3
8577,87,3
3173,20,3
1899,107,3
3846,243,3
4676,243,3
6243,245,3
6069,256,3
6705,256,3
6694,43,3
6064,144,3
1947,177,3
2125,280,3
3842,197,3
2754,209,3
2024,295,3
2452,295,3
2344,8,3
3213,8,3
2015,234,3
3854,20,3
2076,245,3
4787,42,3
3205,256,3
4695,136,3
2108,53,3
6815,171,3
2208,87,3
5056,219,3
2450,295,3
3091,295,3
5353,20,3
6718,35,3
6328,42,3
2735,256,3
4975,47,3
2160,157,3
6169,296,3
6390,296,3
2369,107,3
2776,136,3
6020,136,3
2096,266,3
2065,8,3
4400,296,3
2152,33,3
4736,113,3
6061,113,3
6266,244,3
6329,42,3
4945,256,3
5988,43,3
6735,43,3
6680,199,3
3227,239,3
3008,107,3
2787,41,3
6055,47,3
2944,147,3
6041,147,3
3204,151,3
4956,63,3
2723,76,3
2381,280,3
5520,294,3
4387,220,3
1988,88,3
3054,88,3
4352,88,3
2575,14,3
5464,88,3
8573,88,3
4687,20,3
3933,234,3
6223,235,3
6089,235,3
2765,31,3
4220,107,3
4295,244,3
2978,41,3
6078,41,3
1901,147,3
2744,53,3
2095,161,3
1941,84,3
3061,87,3
3029,11,3
3908,88,3
4237,35,3
6281,113,3
3567,249,3
2140,256,3
5427,153,3
6220,181,3
